upreg tpr noise mfdr_sm mfdr_sm_qv mfdr_perm
2 0.05 0.1 0.489120817089049 0.0295179956716891 0.448584881218302
2 0.05 0.25 0.497038216089423 0.02376238107083 0.465706229261726
2 0.05 0.5 0.546424485308542 0.0086501307481253 0.551368650516927
2 0.05 1 0.736650094094327 0.000926518226886987 0.809948806188785
2 0.1 0.1 0.310152909639446 0.039986284555297 0.226764249074504
2 0.1 0.25 0.317085951162242 0.0336243934003731 0.252840291395631
2 0.1 0.5 0.357021925223328 0.0199405246343949 0.365579247011555
2 0.1 1 0.575519342087425 0.00193367179567207 0.663265041377639
2 0.15 0.1 0.223760117994922 0.0419590466474602 0.119892927044935
2 0.15 0.25 0.217557003278283 0.0400369663219529 0.150306473102996
2 0.15 0.5 0.269148095276233 0.0240161092832288 0.270653097092134
2 0.15 1 0.4503962224604 0.00121720586749132 0.547216041372756
2 0.2 0.1 0.168496567108002 0.04576975395061 0.0679551011365203
2 0.2 0.25 0.169441507807768 0.0436014677367354 0.102860912093615
2 0.2 0.5 0.203777679067876 0.0323955948412262 0.202603659770581
2 0.2 1 0.375750739601543 0.00148648865772276 0.457923806001277
5 0.05 0.1 0.487416385449726 0.0303429064287308 0.444380426242989
5 0.05 0.25 0.492765143103073 0.0280081393251343 0.44876811294718
5 0.05 0.5 0.484289704692908 0.0255459432576456 0.43949076594005
5 0.05 1 0.48953550283047 0.0216091988796265 0.459207647301199
5 0.1 0.1 0.314699529115886 0.0360170383613823 0.234541249467913
5 0.1 0.25 0.313581790833966 0.0383520226704761 0.223300295796704
5 0.1 0.5 0.310162019035371 0.0368278788028918 0.232045773701881
5 0.1 1 0.307507236219999 0.0321100450405127 0.25387495502625
5 0.15 0.1 0.223478247444998 0.0415865658077397 0.122932782395452
5 0.15 0.25 0.219725148482916 0.0404891488405852 0.117541308361416
5 0.15 0.5 0.219357427205223 0.0413440577601483 0.11777245743602
5 0.15 1 0.224434202936794 0.0426183805364059 0.159136041671508
5 0.2 0.1 0.171460959957121 0.0471324068057916 0.0659287094021471
5 0.2 0.25 0.167943754079975 0.0434404536980269 0.0653495130403997
5 0.2 0.5 0.165554170510312 0.0437911499935293 0.0639783190811435
5 0.2 1 0.168553326066792 0.0436722716070761 0.100023181444895
10 0.05 0.1 0.493154495306718 0.0266900350338686 0.44869346982745
10 0.05 0.25 0.487897687944357 0.0300309910582951 0.450674524216258
10 0.05 0.5 0.4917791914251 0.0307456770915516 0.445395364622223
10 0.05 1 0.484737863891042 0.0262425208036301 0.441935014606789
10 0.1 0.1 0.314231017616194 0.0377431369499735 0.227897434807319
10 0.1 0.25 0.310420877210646 0.0341240880374427 0.230921177737304
10 0.1 0.5 0.303872694528282 0.0391088111224244 0.223612647307501
10 0.1 1 0.303978319090182 0.0364836241783709 0.221942048275766
10 0.15 0.1 0.221247382526167 0.0400328190784851 0.11612211285943
10 0.15 0.25 0.218728815554383 0.0396025044066027 0.121421033038836
10 0.15 0.5 0.221813942583752 0.0439892985632808 0.116472047238926
10 0.15 1 0.216934946412024 0.0420884011022824 0.122272818372116
10 0.2 0.1 0.169690972199285 0.044779118121354 0.0642244068499942
10 0.2 0.25 0.168726431281107 0.04410205559335 0.0628607598189587
10 0.2 0.5 0.163415861037425 0.0476899985741197 0.0650812155016605
10 0.2 1 0.164760224239253 0.0430619551609275 0.0615023540168982
